gamma,U_late,L_gamma,n_vortices_med,R_crystal_mean,R_crystal_std,spacing_mean,spacing_std,n_snapshots,t_max
0.005,0.6739295060083396,5.1272145251944865,42.0,82.97071958420082,1.9596372276279572,15.68265491029346,3.36475428213577,9,1000.0
0.02,0.6571387681908799,3.202892515155003,78.0,70.17096583043366,2.2737522815254807,7.884476014112874,1.1832630942277613,9,1000.0
