gamma,U_late,L_gamma,n_vortices_med,R_crystal_mean,R_crystal_std,spacing_mean,spacing_std,n_snapshots,t_max
0.005,3.104394394543639,8.531046229943293,45.0,91.98100332756619,4.870827583995207,15.972700906675154,4.379634056765786,9,600.0
0.02,3.1256684773947137,5.386470748602145,66.0,84.72605895777518,5.01346862349825,10.780906722029137,2.7207059987611175,9,600.0
